Week,Adds,Subs,Year,Date
1621728000,3586,-2793,2021,2021-05-23
1622332800,2630,-1482,2021,2021-05-30
1622937600,11562,-4665,2021,2021-06-06
1623542400,506437,-5263,2021,2021-06-13
1624147200,54218,-48538,2021,2021-06-20
1624752000,13088,-8382,2021,2021-06-27
1625356800,22302,-15843,2021,2021-07-04
1625961600,40920,-55874,2021,2021-07-11
1626566400,10344,-11611,2021,2021-07-18
1627171200,8575,-7390,2021,2021-07-25
1627776000,6571,-5795,2021,2021-08-01
1628380800,138372,-138028,2021,2021-08-08
1628985600,2194,-2112,2021,2021-08-15
1629590400,3953,-2588,2021,2021-08-22
1630195200,8992,-7954,2021,2021-08-29
1630800000,25002,-3126,2021,2021-09-05
1631404800,7937,-2718,2021,2021-09-12
1632009600,7690,-2739,2021,2021-09-19
1632614400,19369,-3228,2021,2021-09-26
1633219200,9918,-6653,2021,2021-10-03
1633824000,8516,-2530,2021,2021-10-10
1634428800,241257,-425441,2021,2021-10-17
1635033600,37528,-14358,2021,2021-10-24
1635638400,182931,-24250,2021,2021-10-31
1636243200,227302,-229956,2021,2021-11-07
1636848000,251109,-268232,2021,2021-11-14
1637452800,243169,-336564,2021,2021-11-21
1638057600,126526,-154595,2021,2021-11-28
1638662400,271850,-105340,2021,2021-12-05
1639267200,2586,-2071,2021,2021-12-12
1639872000,169576,-157199,2021,2021-12-19
1640476800,1409,-1399,2021,2021-12-26
1641081600,7669,-1970,2022,2022-01-02
1641686400,4197,-3329,2022,2022-01-09
1642291200,206146,-46038,2022,2022-01-16
1642896000,7988,-9330,2022,2022-01-23
1643500800,5258,-4706,2022,2022-01-30
1644105600,12290,-5117,2022,2022-02-06
1644710400,62721,-10475,2022,2022-02-13
1645315200,1850,-48447,2022,2022-02-20
1645920000,179059,-177813,2022,2022-02-27
1646524800,2407,-2408,2022,2022-03-06
1647129600,2815,-2207,2022,2022-03-13
1647734400,4996,-2368,2022,2022-03-20
