Weeks,Adds,Subs,Year,Date
1576972800,1526,-2439,2019,2019-12-22
1577577600,5876,-6016,2019,2019-12-29
1578182400,14014,-10092,2020,2020-01-05
1578787200,22228,-986390,2020,2020-01-12
1579392000,13184,-4376,2020,2020-01-19
1579996800,20836,-13955,2020,2020-01-26
1580601600,20196,-265905,2020,2020-02-02
1581206400,32775,-17298,2020,2020-02-09
1581811200,21865,-12049,2020,2020-02-16
1582416000,20116,-12203,2020,2020-02-23
1583020800,13501,-7466,2020,2020-03-01
1583625600,12871,-9430,2020,2020-03-08
1584230400,12803,-9096,2020,2020-03-15
1584835200,25783,-24066,2020,2020-03-22
1585440000,30626,-19260,2020,2020-03-29
1586044800,11706,-8886,2020,2020-04-05
1586649600,12139,-11244,2020,2020-04-12
1587254400,18313,-15312,2020,2020-04-19
1587859200,11569,-9884,2020,2020-04-26
1588464000,22885,-18738,2020,2020-05-03
1589068800,187137,-185282,2020,2020-05-10
1589673600,25793,-21634,2020,2020-05-17
1590278400,7481,-5568,2020,2020-05-24
1590883200,11592,-7083,2020,2020-05-31
1591488000,30776,-6677,2020,2020-06-07
1592092800,112004,-101500,2020,2020-06-14
1592697600,8871,-9305,2020,2020-06-21
1593302400,96381,-88429,2020,2020-06-28
1593907200,17066,-5959,2020,2020-07-05
1594512000,17507,-7685,2020,2020-07-12
1595116800,28248,-15345,2020,2020-07-19
1595721600,26743,-14958,2020,2020-07-26
1596326400,26964,-14579,2020,2020-08-02
1596931200,198756,-191586,2020,2020-08-09
1597536000,24807,-13504,2020,2020-08-16
1598140800,50795,-18192,2020,2020-08-23
1598745600,37063,-24962,2020,2020-08-30
1599350400,32156,-21569,2020,2020-09-06
1599955200,34626,-26720,2020,2020-09-13
1600560000,46887,-28123,2020,2020-09-20
1601164800,27708,-19865,2020,2020-09-27
1601769600,20281,-10349,2020,2020-10-04
1602374400,24643,-16979,2020,2020-10-11
1602979200,16431,-16928,2020,2020-10-18
1603584000,14112,-6398,2020,2020-10-25
1604188800,21380,-12093,2020,2020-11-01
1604793600,17702,-10885,2020,2020-11-08
1605398400,19599,-15619,2020,2020-11-15
1606003200,13177,-10086,2020,2020-11-22
1606608000,24325,-14835,2020,2020-11-29
1607212800,12282,-6489,2020,2020-12-06
1607817600,14174,-6229,2020,2020-12-13
1608422400,3340,-2176,2020,2020-12-20
1609027200,3353,-1868,2020,2020-12-27
1609632000,12790,-8324,2021,2021-01-03
1610236800,16819,-11268,2021,2021-01-10
1610841600,18440,-9371,2021,2021-01-17
1611446400,18047,-9128,2021,2021-01-24
1612051200,34195,-18984,2021,2021-01-31
1612656000,19465,-11960,2021,2021-02-07
1613260800,18751,-9192,2021,2021-02-14
1613865600,26772,-9292,2021,2021-02-21
1614470400,24921,-12472,2021,2021-02-28
1615075200,27599,-14897,2021,2021-03-07
1615680000,23982,-16436,2021,2021-03-14
1616284800,26250,-12195,2021,2021-03-21
1616889600,18438,-6775,2021,2021-03-28
1617494400,14211,-8502,2021,2021-04-04
1618099200,114459,-88787,2021,2021-04-11
1618704000,150087,-133882,2021,2021-04-18
1619308800,1740779,-1470276,2021,2021-04-25
1619913600,1380747,-1629790,2021,2021-05-02
1620518400,3297790,-2757857,2021,2021-05-09
1621123200,15207,-10273,2021,2021-05-16
1621728000,11411,-4565,2021,2021-05-23
1622332800,11072,-9646,2021,2021-05-30
1622937600,16861,-9200,2021,2021-06-06
1623542400,14018,-7027,2021,2021-06-13
1624147200,9036,-4320,2021,2021-06-20
1624752000,118088,-27367,2021,2021-06-27
1625356800,12172,-8564,2021,2021-07-04
1625961600,14429,-7671,2021,2021-07-11
1626566400,13722,-10425,2021,2021-07-18
1627171200,15493,-13889,2021,2021-07-25
1627776000,26203,-15230,2021,2021-08-01
1628380800,10762,-7377,2021,2021-08-08
1628985600,18554,-8613,2021,2021-08-15
1629590400,12605,-4932,2021,2021-08-22
1630195200,12125,-5606,2021,2021-08-29
1630800000,11434,-2634,2021,2021-09-05
1631404800,17994,-10076,2021,2021-09-12
1632009600,13803,-6168,2021,2021-09-19
1632614400,15297,-6130,2021,2021-09-26
1633219200,11297,-4904,2021,2021-10-03
1633824000,16784,-10231,2021,2021-10-10
1634428800,25728,-21247,2021,2021-10-17
1635033600,27749,-19338,2021,2021-10-24
1635638400,28088,-9887,2021,2021-10-31
1636243200,14403,-7650,2021,2021-11-07
1636848000,31119,-16923,2021,2021-11-14
1637452800,12142,-6654,2021,2021-11-21
1638057600,1031488,-1025099,2021,2021-11-28
1638662400,9853,-3856,2021,2021-12-05
1639267200,12987,-6761,2021,2021-12-12
1639872000,9304,-4971,2021,2021-12-19
1640476800,3670,-2989,2021,2021-12-26
1641081600,8625,-5751,2022,2022-01-02
1641686400,20535,-8940,2022,2022-01-09
1642291200,19544,-13654,2022,2022-01-16
1642896000,173987,-168067,2022,2022-01-23
1643500800,61051,-22803,2022,2022-01-30
1644105600,22908,-16745,2022,2022-02-06
1644710400,28219,-7454,2022,2022-02-13
1645315200,17090,-10279,2022,2022-02-20
1645920000,6281243,-750546,2022,2022-02-27
1646524800,41781,-17806,2022,2022-03-06
1647129600,25021,-11377,2022,2022-03-13
1647734400,37521,-15303,2022,2022-03-20
1648339200,5553,-15424,2022,2022-03-27
