Weeks,Adds,Subs,Date,Year
1604793600,1032,-170,2020-11-08,2020
1605398400,1849,-167,2020-11-15,2020
1606003200,1439,-471,2020-11-22,2020
1606608000,467,-144,2020-11-29,2020
1607212800,812,-144,2020-12-06,2020
1607817600,203,-14,2020-12-13,2020
1608422400,1964,-279,2020-12-20,2020
1609027200,251,-45,2020-12-27,2020
1609632000,0,0,2021-01-03,2021
1610236800,180,-81,2021-01-10,2021
1610841600,370,-2,2021-01-17,2021
1611446400,85,0,2021-01-24,2021
1612051200,96,-64,2021-01-31,2021
1612656000,144,0,2021-02-07,2021
1613260800,167,-3,2021-02-14,2021
1613865600,462,-132,2021-02-21,2021
1614470400,348,0,2021-02-28,2021
1615075200,66,0,2021-03-07,2021
1615680000,593,-401,2021-03-14,2021
1616284800,283515,-283490,2021-03-21,2021
1616889600,31,-50,2021-03-28,2021
1617494400,689,-309,2021-04-04,2021
1618099200,1,-1,2021-04-11,2021
1618704000,161,-1,2021-04-18,2021
1619308800,34,-41,2021-04-25,2021
1619913600,5,-3,2021-05-02,2021
1620518400,1490,-1470,2021-05-09,2021
1621123200,299,-117,2021-05-16,2021
1621728000,80,0,2021-05-23,2021
1622332800,339,-158,2021-05-30,2021
1622937600,224,-61,2021-06-06,2021
1623542400,106,-19,2021-06-13,2021
1624147200,149,-34,2021-06-20,2021
1624752000,24,-16,2021-06-27,2021
1625356800,204,-88,2021-07-04,2021
1625961600,24,-18,2021-07-11,2021
1626566400,121,-47,2021-07-18,2021
1627171200,52,-31,2021-07-25,2021
1627776000,71,-10,2021-08-01,2021
1628380800,119,-47,2021-08-08,2021
1628985600,69,-14,2021-08-15,2021
1629590400,277,-96,2021-08-22,2021
1630195200,158,-48,2021-08-29,2021
1630800000,946,-875,2021-09-05,2021
1631404800,35,-2,2021-09-12,2021
1632009600,87,-86,2021-09-19,2021
1632614400,318,-41,2021-09-26,2021
1633219200,171,-57,2021-10-03,2021
1633824000,1163,-215,2021-10-10,2021
1634428800,2808,-539,2021-10-17,2021
1635033600,2230,-567,2021-10-24,2021
1635638400,2047,-928,2021-10-31,2021
1636243200,35325,-237,2021-11-07,2021
1636848000,220,-45,2021-11-14,2021
1637452800,2,-2,2021-11-21,2021
1638057600,44,-4,2021-11-28,2021
1638662400,0,0,2021-12-05,2021
1639267200,28,-24,2021-12-12,2021
1639872000,0,0,2021-12-19,2021
1640476800,0,0,2021-12-26,2021
1641081600,0,0,2022-01-02,2022
1641686400,0,0,2022-01-09,2022
1642291200,0,0,2022-01-16,2022
1642896000,8,-3,2022-01-23,2022
1643500800,476,-251,2022-01-30,2022
1644105600,0,0,2022-02-06,2022
1644710400,168,-14,2022-02-13,2022
1645315200,0,0,2022-02-20,2022
1645920000,0,0,2022-02-27,2022
1646524800,0,0,2022-03-06,2022
1647129600,1,-1,2022-03-13,2022
1647734400,0,0,2022-03-20,2022
1648339200,1,-1,2022-03-27,2022
1648944000,223,-41,2022-04-03,2022
1649548800,0,0,2022-04-10,2022
