Weeks,Adds,Subs,Year,Date
1597536000,1540,-2076,2020,2020-08-16
1598140800,10,-19,2020,2020-08-23
1598745600,153,-81,2020,2020-08-30
1599350400,541,-158,2020,2020-09-06
1599955200,403,-695,2020,2020-09-13
1600560000,2849,-1366,2020,2020-09-20
1601164800,13235,-4276,2020,2020-09-27
1601769600,3361,-787,2020,2020-10-04
1602374400,4745,-2128,2020,2020-10-11
1602979200,20242,-7004,2020,2020-10-18
1603584000,3758,-538,2020,2020-10-25
1604188800,2500,-1166,2020,2020-11-01
1604793600,973,-858,2020,2020-11-08
1605398400,67,-50,2020,2020-11-15
1606003200,1,-6,2020,2020-11-22
1606608000,1727,-395,2020,2020-11-29
1607212800,0,0,2020,2020-12-06
1607817600,3,-3,2020,2020-12-13
1608422400,0,0,2020,2020-12-20
1609027200,0,0,2020,2020-12-27
1609632000,0,0,2021,2021-01-03
1610236800,321,-414,2021,2021-01-10
1610841600,0,0,2021,2021-01-17
1611446400,1268,-842,2021,2021-01-24
1612051200,3969,-442,2021,2021-01-31
1612656000,1455,-1006,2021,2021-02-07
1613260800,2,-2,2021,2021-02-14
1613865600,61838,-42582,2021,2021-02-21
1614470400,2036,-1025,2021,2021-02-28
1615075200,1502,-336,2021,2021-03-07
1615680000,117,-116,2021,2021-03-14
1616284800,975,-966,2021,2021-03-21
1616889600,4,-9,2021,2021-03-28
1617494400,0,0,2021,2021-04-04
1618099200,4006,-2667,2021,2021-04-11
1618704000,2665,-2389,2021,2021-04-18
1619308800,2188,-6929,2021,2021-04-25
1619913600,48,-19,2021,2021-05-02
1620518400,3282,-2495,2021,2021-05-09
1621123200,209,-206,2021,2021-05-16
1621728000,0,0,2021,2021-05-23
1622332800,87594,-54151,2021,2021-05-30
1622937600,14069,-9675,2021,2021-06-06
1623542400,104567,-4604,2021,2021-06-13
1624147200,18,-6,2021,2021-06-20
1624752000,0,0,2021,2021-06-27
1625356800,1,-1,2021,2021-07-04
1625961600,0,0,2021,2021-07-11
1626566400,182,-39,2021,2021-07-18
1627171200,150,-29,2021,2021-07-25
1627776000,333,-29,2021,2021-08-01
1628380800,0,0,2021,2021-08-08
1628985600,1331,-381,2021,2021-08-15
1629590400,0,0,2021,2021-08-22
1630195200,12340,-6908,2021,2021-08-29
1630800000,285,-81,2021,2021-09-05
1631404800,8341,-9120,2021,2021-09-12
1632009600,6230,-2699,2021,2021-09-19
1632614400,2723,-1479,2021,2021-09-26
1633219200,538,-498,2021,2021-10-03
1633824000,28957,-24455,2021,2021-10-10
1634428800,12059,-9840,2021,2021-10-17
1635033600,1329,-419,2021,2021-10-24
1635638400,88820,-25626,2021,2021-10-31
1636243200,6895,-15078,2021,2021-11-07
1636848000,10002,-5731,2021,2021-11-14
1637452800,0,0,2021,2021-11-21
1638057600,3954,-3644,2021,2021-11-28
1638662400,7990,-4390,2021,2021-12-05
1639267200,59836,-24209,2021,2021-12-12
1639872000,0,0,2021,2021-12-19
1640476800,0,0,2021,2021-12-26
1641081600,3435,-1490,2022,2022-01-02
1641686400,76093,-48352,2022,2022-01-09
1642291200,1139,-794,2022,2022-01-16
1642896000,41517,-27651,2022,2022-01-23
1643500800,544,-105,2022,2022-01-30
1644105600,5,0,2022,2022-02-06
1644710400,4033,-2153,2022,2022-02-13
1645315200,1372,-478,2022,2022-02-20
1645920000,3526,-3874,2022,2022-02-27
1646524800,2302,-594,2022,2022-03-06
1647129600,2880,-1351,2022,2022-03-13
1647734400,1241,-402,2022,2022-03-20
1648339200,3173,-968,2022,2022-03-27
1648944000,1214,-321,2022,2022-04-03
1649548800,209,-38,2022,2022-04-10
