Weeks,Adds,Subs,Year,Date
1628985600,10,0,2021,2021-08-15
1629590400,20,-8,2021,2021-08-22
1630195200,56,-48,2021,2021-08-29
1630800000,35,-2,2021,2021-09-05
1631404800,22,-3,2021,2021-09-12
1632009600,3,-3,2021,2021-09-19
1632614400,0,0,2021,2021-09-26
1633219200,20,-8,2021,2021-10-03
1633824000,0,0,2021,2021-10-10
1634428800,25,0,2021,2021-10-17
1635033600,0,0,2021,2021-10-24
1635638400,10,0,2021,2021-10-31
1636243200,18,-21,2021,2021-11-07
1636848000,4,-4,2021,2021-11-14
1637452800,14,0,2021,2021-11-21
1638057600,14,-9,2021,2021-11-28
1638662400,3,-1,2021,2021-12-05
1639267200,29,-24,2021,2021-12-12
1639872000,0,0,2021,2021-12-19
1640476800,0,0,2021,2021-12-26
1641081600,32,-24,2022,2022-01-02
1641686400,3,-3,2022,2022-01-09
1642291200,0,0,2022,2022-01-16
1642896000,0,0,2022,2022-01-23
1643500800,9,-5,2022,2022-01-30
1644105600,10,-937,2022,2022-02-06
1644710400,0,0,2022,2022-02-13
1645315200,18,-23,2022,2022-02-20
1645920000,0,0,2022,2022-02-27
1646524800,0,0,2022,2022-03-06
1647129600,0,0,2022,2022-03-13
1647734400,0,0,2022,2022-03-20
1648339200,0,0,2022,2022-03-27
